species,product_type,compound,dosage_mg,weight_kg,age_months,treatment_date,frequency,withdrawal_days,days_since_last_dose,compliant
cattle,milk,Oxytetracycline,500,600,24,2024-03-01,daily,7,2,0
cattle,milk,Oxytetracycline,500,550,30,2024-03-01,daily,7,5,0
cattle,milk,Oxytetracycline,500,580,28,2024-03-01,daily,7,7,1
cattle,milk,Oxytetracycline,500,620,32,2024-03-01,once,7,9,1
cattle,milk,Oxytetracycline,250,450,18,2024-03-01,weekly,7,3,0
cattle,milk,Oxytetracycline,250,540,26,2024-03-01,weekly,7,6,1
cattle,meat,Oxytetracycline,800,800,48,2024-03-01,twice,28,7,0
cattle,meat,Oxytetracycline,800,750,40,2024-03-01,twice,28,14,0
cattle,meat,Oxytetracycline,800,900,55,2024-03-01,daily,28,28,1
cattle,meat,Oxytetracycline,800,850,50,2024-03-01,daily,28,35,1
cattle,milk,Enrofloxacin,300,500,22,2024-03-01,daily,5,1,0
cattle,milk,Enrofloxacin,300,520,25,2024-03-01,daily,5,3,0
cattle,milk,Enrofloxacin,300,480,20,2024-03-01,once,5,5,1
cattle,milk,Enrofloxacin,150,400,16,2024-03-01,weekly,5,2,0
cattle,milk,Enrofloxacin,150,450,20,2024-03-01,weekly,5,4,1
cattle,meat,Enrofloxacin,600,650,34,2024-03-01,daily,14,4,0
cattle,meat,Enrofloxacin,600,700,36,2024-03-01,twice,14,10,0
cattle,meat,Enrofloxacin,600,680,38,2024-03-01,twice,14,14,1
cattle,meat,Enrofloxacin,600,720,40,2024-03-01,once,14,18,1
cattle,milk,Penicillin G,50,550,28,2024-03-01,daily,4,1,0
cattle,milk,Penicillin G,50,560,29,2024-03-01,twice,4,3,0
cattle,milk,Penicillin G,50,580,31,2024-03-01,weekly,4,4,1
cattle,milk,Penicillin G,25,480,24,2024-03-01,once,4,2,0
cattle,milk,Penicillin G,25,500,25,2024-03-01,once,4,4,1
cattle,meat,Penicillin G,100,600,34,2024-03-01,daily,10,3,0
cattle,meat,Penicillin G,100,550,30,2024-03-01,twice,10,7,0
cattle,meat,Penicillin G,100,640,36,2024-03-01,twice,10,10,1
cattle,meat,Penicillin G,100,680,40,2024-03-01,daily,10,15,1
